repo,n_newcomers,rate_2plus_months,rate_3plus_months,rate_5plus_commits,rate_10plus_commits,rate_90plus_days_span,rate_180plus_days_span,unique_contributors_for_metrics,entropy_norm,active_window_rate,log_contributors
AdminLTE,24,0.16666666666666666,0.08333333333333333,0.125,0.125,0.125,0.08333333333333333,21,0.6144959087119523,0.2622950819672131,3.091042453358316
AspNetCore.Docs,732,0.15846994535519127,0.07650273224043716,0.05737704918032787,0.023224043715846996,0.12978142076502733,0.11202185792349727,521,0.696989337819305,0.3114754098360656,6.257667587882639
Chart.js,174,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.028735632183908046,0.06321839080459771,0.05747126436781609,119,0.656522194133825,0.2786885245901639,4.787491742782046
DefinitelyTyped,6734,0.1828036828036828,0.06578556578556578,0.03994653994653995,0.012177012177012177,0.12815562815562814,0.10246510246510246,5230,0.8444906552249595,0.7704918032786885,8.562357743370612
FFmpeg,455,0.3054945054945055,0.18681318681318682,0.1934065934065934,0.0989010989010989,0.25054945054945055,0.210989010989011,601,0.9445804520678962,0.9672131147540984,6.400257445308821
FreeRDP,170,0.29411764705882354,0.14705882352941177,0.17058823529411765,0.07058823529411765,0.21764705882352942,0.17058823529411765,179,0.7307802444542505,0.4098360655737705,5.19295685089021
Ghost,358,0.3016759776536313,0.17039106145251395,0.1871508379888268,0.12290502793296089,0.24022346368715083,0.19832402234636873,235,0.7971271222100823,0.5081967213114754,5.4638318050256105
HanLP,10,0.2,0.1,0.1,0.0,0.2,0.1,9,0.7242534624510166,0.4262295081967213,2.302585092994046
Marlin,467,0.3019271948608137,0.15845824411134904,0.11134903640256959,0.04925053533190578,0.21627408993576017,0.1777301927194861,311,0.7624395199919911,0.4262295081967213,5.7430031878094825
PHPMailer,90,0.1111111111111111,0.03333333333333333,0.07777777777777778,0.03333333333333333,0.06666666666666667,0.06666666666666667,65,0.8035379139988229,0.5737704918032787,4.189654742026425
Python,1930,0.2860103626943005,0.15025906735751296,0.10362694300518134,0.05906735751295337,0.23005181347150258,0.19378238341968912,171,0.4609540432160616,0.2295081967213114,5.147494476813453
Rocket.Chat,283,0.40636042402826855,0.28975265017667845,0.27208480565371024,0.1978798586572438,0.303886925795053,0.254416961130742,169,0.8706569291712621,0.7213114754098361,5.135798437050262
TypeScript,330,0.24242424242424243,0.12424242424242424,0.08181818181818182,0.04242424242424243,0.17272727272727273,0.14545454545454545,260,0.7761355199764771,0.4426229508196721,5.564520407322694
Vue-core,418,0.24401913875598086,0.13157894736842105,0.09569377990430622,0.05502392344497608,0.20095693779904306,0.16985645933014354,308,0.8910823611578284,0.8688524590163934,5.733341276897746
WordPress,26,0.9615384615384616,0.8461538461538461,0.8461538461538461,0.6153846153846154,0.9230769230769231,0.8076923076923077,61,0.7618609389563106,0.4098360655737705,4.127134385045092
airflow,2285,0.300218818380744,0.16542669584245076,0.12822757111597374,0.07221006564551423,0.21137855579868708,0.16323851203501094,1389,0.9517714861438265,1.0,7.237059026124737
angular,1082,0.19593345656192238,0.10351201478743069,0.10073937153419593,0.05545286506469501,0.1534195933456562,0.12754158964879853,1023,0.9888412870279784,1.0,6.931471805599453
animate.css,19,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,17,0.4942402237821651,0.1475409836065573,2.8903717578961645
ansible,653,0.12710566615620214,0.06584992343032159,0.039816232771822356,0.018376722817764167,0.0995405819295559,0.07963246554364471,498,0.6275124848977414,0.2295081967213114,6.212606095751519
ant-design,1196,0.21237458193979933,0.10953177257525083,0.08110367892976589,0.039297658862876256,0.15217391304347827,0.11872909698996656,824,0.9726613965447332,1.0,6.715383386334681
ardupilot,502,0.34063745019920316,0.1852589641434263,0.2290836653386454,0.12151394422310757,0.25697211155378485,0.2250996015936255,492,0.7051409591642314,0.3278688524590163,6.20050917404269
aspnetcore,600,0.24666666666666667,0.135,0.10666666666666667,0.055,0.18833333333333332,0.16666666666666666,454,0.71489890178309,0.360655737704918,6.12029741895095
axios,252,0.07936507936507936,0.023809523809523808,0.015873015873015872,0.007936507936507936,0.06746031746031746,0.047619047619047616,172,0.8074911673397316,0.7049180327868853,5.153291594497779
azure-quickstart-templates,483,0.3581780538302277,0.16977225672877846,0.38509316770186336,0.2546583850931677,0.2028985507246377,0.16149068322981366,351,0.3372261973790022,0.0655737704918032,5.863631175598097
bitcoin,334,0.36826347305389223,0.2215568862275449,0.19760479041916168,0.12574850299401197,0.2844311377245509,0.2275449101796407,377,0.8734936734862313,0.6721311475409836,5.934894195619588
bootstrap,308,0.16233766233766234,0.06168831168831169,0.03896103896103896,0.01948051948051948,0.1266233766233766,0.1038961038961039,257,0.8630245209581516,0.6885245901639344,5.552959584921617
core,2498,0.32185748598879105,0.19975980784627703,0.18815052041633307,0.1088871096877502,0.26140912730184146,0.2321857485988791,1826,0.7444371181707646,0.3770491803278688,7.510430556378006
d3,20,0.2,0.05,0.05,0.05,0.15,0.15,10,0.5461211772250886,0.1639344262295081,2.3978952727983707
darknet,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.4748013448513826,0.1475409836065573,0.6931471805599453
django,903,0.21040974529346623,0.09302325581395349,0.06312292358803986,0.026578073089700997,0.1362126245847176,0.11406423034330011,870,0.9231480685272992,0.8524590163934426,6.769641976852503
dubbo,324,0.3487654320987654,0.20679012345679013,0.18518518518518517,0.11419753086419752,0.2191358024691358,0.16666666666666666,208,0.7755033372766229,0.4754098360655737,5.342334251964811
echarts,176,0.17045454545454544,0.07386363636363637,0.11363636363636363,0.0625,0.09090909090909091,0.07386363636363637,154,0.6202330303063626,0.2622950819672131,5.043425116919247
elasticsearch,673,0.4338781575037147,0.32838038632986627,0.2689450222882615,0.1961367013372957,0.38781575037147104,0.3521545319465082,595,0.8915496583597049,0.7213114754098361,6.39024066706535
electron,408,0.19117647058823528,0.10784313725490197,0.09313725490196079,0.04656862745098039,0.14705882352941177,0.11274509803921569,307,0.8304395001888613,0.5409836065573771,5.730099782973574
erpnext,378,0.5264550264550265,0.3783068783068783,0.36507936507936506,0.26455026455026454,0.4365079365079365,0.373015873015873,280,0.589591190282785,0.2786885245901639,5.638354669333745
etcd,445,0.30337078651685395,0.15280898876404495,0.1752808988764045,0.09662921348314607,0.18202247191011237,0.14831460674157304,444,0.8652303382562401,0.6885245901639344,6.09807428216624
flask,167,0.04790419161676647,0.011976047904191617,0.011976047904191617,0.0,0.029940119760479042,0.023952095808383235,138,0.6243438750292691,0.2459016393442623,4.9344739331306915
flink,878,0.3553530751708428,0.22323462414578588,0.18906605922551253,0.11845102505694761,0.2824601366742597,0.23234624145785876,882,0.7653196402426686,0.4098360655737705,6.78332520060396
flutter,1247,0.351242983159583,0.22213311948676825,0.1740176423416199,0.11146752205292702,0.2654370489174018,0.22774659182036888,978,0.9204395012412848,0.8688524590163934,6.88653164253051
framework,1656,0.26992753623188404,0.14130434782608695,0.10084541062801933,0.044082125603864736,0.23248792270531402,0.20833333333333334,1317,0.903460751929737,0.819672131147541,7.183870715062453
gitignore,274,0.10948905109489052,0.01824817518248175,0.029197080291970802,0.0,0.07664233576642336,0.06569343065693431,213,0.4251816414752122,0.0983606557377049,5.365976015021851
go,875,0.31085714285714283,0.18857142857142858,0.152,0.09485714285714286,0.2502857142857143,0.21714285714285714,1079,0.7105393331015678,0.3770491803278688,6.984716320118266
go-ethereum,607,0.26194398682042835,0.1301482701812191,0.11037891268533773,0.04118616144975288,0.1812191103789127,0.14827018121911037,416,0.8289409144156485,0.5409836065573771,6.0330862217988015
godot,1993,0.35273457099849476,0.19869543401906672,0.17009533366783744,0.09382839939789263,0.27245358755644755,0.23432012042147515,1796,0.8742944353630595,0.7213114754098361,7.493873886783559
grafana,1433,0.35519888346127004,0.25331472435450103,0.22191207257501744,0.17236566643405443,0.2826238660153524,0.24842986741102582,980,0.9089114652785945,0.9016393442622952,6.8885724595653635
grpc,442,0.29411764705882354,0.18778280542986425,0.1515837104072398,0.09049773755656108,0.2171945701357466,0.19457013574660634,387,0.8398444888862241,0.6885245901639344,5.961005339623274
guava,81,0.1111111111111111,0.07407407407407407,0.04938271604938271,0.024691358024691357,0.08641975308641975,0.07407407407407407,114,0.7621185979271853,0.4426229508196721,4.74493212836325
homebrew-cask,4051,0.3115280177733893,0.1809429770427055,0.1634164403850901,0.08936065169094051,0.24290298691681067,0.20044433473216489,3456,0.7117241539072521,0.360655737704918,8.148156439921625
html5-boilerplate,26,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.0,18,0.7409283209082461,0.3934426229508196,2.9444389791664403
imgui,287,0.15331010452961671,0.05226480836236934,0.0313588850174216,0.010452961672473868,0.13588850174216027,0.11498257839721254,230,0.5363301063864917,0.1639344262295081,5.442417710521793
ionic-framework,116,0.22413793103448276,0.16379310344827586,0.1206896551724138,0.08620689655172414,0.1896551724137931,0.16379310344827586,97,0.9131888088310316,0.8852459016393442,4.584967478670572
java-design-patterns,273,0.18681318681318682,0.03663003663003663,0.06593406593406594,0.014652014652014652,0.08424908424908426,0.054945054945054944,122,0.6872714835628879,0.3442622950819672,4.812184355372417
jekyll,159,0.09433962264150944,0.031446540880503145,0.025157232704402517,0.0,0.06289308176100629,0.0440251572327044,126,0.889046367043461,0.8852459016393442,4.844187086458591
jenkins,215,0.25116279069767444,0.15813953488372093,0.16279069767441862,0.10232558139534884,0.20465116279069767,0.17209302325581396,173,0.8082319631819973,0.5245901639344263,5.159055299214529
jquery,19,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,20,0.6838982637738295,0.3114754098360656,3.044522437723423
juice-shop,79,0.3037974683544304,0.20253164556962025,0.34177215189873417,0.21518987341772153,0.189873417721519,0.12658227848101267,58,0.8902799552794232,0.819672131147541,4.07753744390572
kafka,689,0.4005805515239477,0.25689404934687954,0.23367198838896952,0.15529753265602322,0.30043541364296084,0.24383164005805516,561,0.7821890710999863,0.4918032786885246,6.331501849893691
kubernetes,1721,0.42184776292852993,0.2597327135386403,0.25624636839047066,0.14294015107495642,0.3178384660081348,0.2597327135386403,2019,0.6703075505865258,0.2786885245901639,7.61085279039525
lantern,6,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,4,0.3437169798450883,0.081967213114754,1.6094379124341003
laravel,168,0.19047619047619047,0.05952380952380952,0.05357142857142857,0.017857142857142856,0.17261904761904762,0.15476190476190477,142,0.950281470791576,0.9672131147540984,4.962844630259907
markdown-here,2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.3106478820952459,0.0655737704918032,1.0986122886681098
material-ui,1275,0.15764705882352942,0.07450980392156863,0.0611764705882353,0.03137254901960784,0.1027450980392157,0.07607843137254902,790,0.9779650964968668,1.0,6.673297967767654
metasploit-framework,388,0.3711340206185567,0.2036082474226804,0.4020618556701031,0.25257731958762886,0.211340206185567,0.16237113402061856,318,0.668810014030381,0.4098360655737705,5.765191102784844
minimal-mistakes,73,0.0410958904109589,0.0136986301369863,0.0,0.0,0.0410958904109589,0.0410958904109589,55,0.7105378481524905,0.4754098360655737,4.02535169073515
moby,272,0.21323529411764705,0.11397058823529412,0.1213235294117647,0.07352941176470588,0.16544117647058823,0.12867647058823528,303,0.8275082829345493,0.5573770491803278,5.717027701406222
mybatis-3,96,0.15625,0.052083333333333336,0.08333333333333333,0.052083333333333336,0.052083333333333336,0.03125,88,0.5479925707408786,0.180327868852459,4.48863636973214
netty,255,0.2235294117647059,0.13725490196078433,0.11372549019607843,0.047058823529411764,0.17254901960784313,0.14901960784313725,220,0.6418406051147727,0.2950819672131147,5.3981627015177525
nixpkgs,8262,0.5326797385620915,0.369281045751634,0.35245703219559427,0.20697167755991286,0.4468651658194142,0.38985717743887677,8008,0.8296127940201382,0.7049180327868853,8.988321188323683
node,1089,0.2938475665748393,0.18457300275482094,0.14692378328741965,0.08723599632690542,0.22589531680440772,0.19100091827364554,991,0.962780697231144,1.0,6.899723107284872
numpy,916,0.25,0.12117903930131005,0.15502183406113537,0.08078602620087336,0.16593886462882096,0.13100436681222707,773,0.6783294223103542,0.3770491803278688,6.651571873589727
odoo,1337,0.6447270007479432,0.5332834704562454,0.4906507105459985,0.3777112939416604,0.5721765145848915,0.5228122662677637,1496,0.6137894365825559,0.2131147540983606,7.311218384419629
ohmyzsh,776,0.08505154639175258,0.024484536082474227,0.01288659793814433,0.003865979381443299,0.06958762886597938,0.06314432989690721,597,0.7702421959925077,0.4590163934426229,6.393590753950631
opencv,670,0.22388059701492538,0.12238805970149254,0.10895522388059702,0.05522388059701493,0.16567164179104477,0.1253731343283582,578,0.5701787646017642,0.1967213114754098,6.361302477572996
openssl,666,0.3033033033033033,0.17867867867867868,0.16966966966966968,0.1006006006006006,0.23723723723723725,0.20270270270270271,689,0.7836509650303464,0.4590163934426229,6.536691597591305
pandas,1540,0.22597402597402597,0.09610389610389611,0.08181818181818182,0.032467532467532464,0.11558441558441558,0.09220779220779221,834,0.8051040409332259,0.4918032786885246,6.727431724850855
pdf.js,101,0.18811881188118812,0.09900990099009901,0.09900990099009901,0.0297029702970297,0.1188118811881188,0.10891089108910891,98,0.7260913124448205,0.360655737704918,4.59511985013459
protobuf,592,0.2685810810810811,0.14020270270270271,0.125,0.06756756756756757,0.22466216216216217,0.20439189189189189,551,0.6870475799638535,0.3114754098360656,6.313548046277095
qmk_firmware,1705,0.31085043988269795,0.16011730205278593,0.09501466275659824,0.04105571847507331,0.2439882697947214,0.20058651026392962,1109,0.7600122078091428,0.3934426229508196,7.01211529430638
rails,1364,0.25439882697947214,0.125366568914956,0.10117302052785923,0.04985337243401759,0.20527859237536658,0.1781524926686217,1480,0.7079516285291358,0.360655737704918,7.300472814267799
react,394,0.19796954314720813,0.11928934010152284,0.1116751269035533,0.06852791878172589,0.13959390862944163,0.12944162436548223,323,0.7677425728022537,0.4754098360655737,5.780743515792329
react-native,1197,0.3358395989974937,0.1946532999164578,0.17042606516290726,0.11194653299916457,0.2673350041771094,0.22055137844611528,1233,0.9024702583231397,0.8852459016393442,7.1180162044653335
react-router,531,0.1167608286252354,0.047080979284369114,0.04331450094161959,0.02448210922787194,0.08662900188323917,0.07156308851224105,380,0.894745948419439,0.8360655737704918,5.942799375126701
redis,423,0.3120567375886525,0.16784869976359337,0.13002364066193853,0.07801418439716312,0.22458628841607564,0.1938534278959811,335,0.6867997988061347,0.4590163934426229,5.817111159963204
reveal.js,55,0.03636363636363636,0.01818181818181818,0.09090909090909091,0.01818181818181818,0.03636363636363636,0.01818181818181818,50,0.593864642523777,0.2295081967213114,3.9318256327243257
rust,3677,0.41120478651074244,0.2436769105248844,0.30187652977971174,0.18275768289366331,0.30187652977971174,0.257002991569214,3638,0.9753631056026502,1.0,8.19946419761216
scrapy,232,0.17672413793103448,0.07327586206896551,0.1206896551724138,0.05603448275862069,0.09482758620689655,0.07758620689655173,165,0.7107246215028619,0.4098360655737705,5.111987788356544
shadowsocks-android,8,0.25,0.125,0.375,0.25,0.25,0.25,8,0.459551722133398,0.1147540983606557,2.1972245773362196
shadowsocks-windows,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,10,0.2529196480342516,0.0491803278688524,2.3978952727983707
socket.io,134,0.06716417910447761,0.007462686567164179,0.014925373134328358,0.0,0.03731343283582089,0.029850746268656716,104,0.832709763456306,0.7213114754098361,4.653960350157523
spark,930,0.4376344086021505,0.2752688172043011,0.24086021505376345,0.14623655913978495,0.3365591397849462,0.27419354838709675,1033,0.7148989017830899,0.3770491803278688,6.9411900550683745
spring-boot,591,0.17258883248730963,0.09475465313028765,0.08798646362098139,0.043993231810490696,0.12351945854483926,0.10490693739424704,575,0.7307287652409399,0.4098360655737705,6.3561076606958915
spring-framework,583,0.18867924528301888,0.07718696397941681,0.06689536878216124,0.0411663807890223,0.14065180102915953,0.10634648370497427,556,0.7034303892605933,0.3278688524590163,6.322565239927284
symfony,1462,0.2448700410396717,0.09575923392612859,0.0533515731874145,0.02051983584131327,0.19493844049247605,0.16757865937072502,1599,0.9228714908654256,0.9836065573770492,7.3777589082278725
terraform,511,0.21526418786692758,0.11154598825831702,0.11741682974559686,0.07436399217221135,0.15264187866927592,0.1232876712328767,377,0.9190458265163766,0.918032786885246,5.934894195619588
three.js,736,0.22418478260869565,0.10733695652173914,0.11684782608695653,0.05434782608695652,0.16576086956521738,0.1331521739130435,599,0.7815263323291296,0.4754098360655737,6.396929655216146
todomvc,9,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,8,0.1548367060935873,0.0327868852459016,2.1972245773362196
vscode,1213,0.27122835943940643,0.16240725474031328,0.1508656224237428,0.08161582852431987,0.20527617477328935,0.16817807089859851,1325,0.7114677386865149,0.3442622950819672,7.189922170745808
youtube-dl,128,0.1015625,0.0390625,0.0390625,0.0234375,0.0546875,0.0546875,100,0.5631586708702783,0.2786885245901639,4.61512051684126
zxing,30,0.23333333333333334,0.1,0.03333333333333333,0.03333333333333333,0.1,0.1,25,0.5952873742016478,0.2131147540983606,3.258096538021482
