project_name,repo,since,until,include_merges,dominant_threshold,total_commits_in_range,health_docs_touch_commits,health_docs_only_commits,health_docs_dominant_mixed_commits,health_docs_mixed_non_dominant_commits,health_docs_only_rate,health_docs_dominant_mixed_rate,health_docs_mixed_non_dominant_rate,partition_check_sum
metasploit-framework,metasploit-framework,2020-06-30,2025-06-29,no,0.500,14692,79,50,0,29,0.632911,0.000000,0.367089,79
juice-shop,juice-shop,2020-06-30,2025-06-29,no,0.500,6394,140,71,31,38,0.507143,0.221429,0.271429,140
flask,flask,2020-06-30,2025-06-29,no,0.500,877,32,22,3,7,0.687500,0.093750,0.218750,32
terraform,terraform,2020-06-30,2025-06-29,no,0.500,6466,562,465,83,14,0.827402,0.147687,0.024911,562
FFmpeg,FFmpeg,2020-06-30,2025-06-29,no,0.500,21718,410,172,178,60,0.419512,0.434146,0.146341,410
aspnetcore,aspnetcore,2020-06-30,2025-06-29,no,0.500,10420,37,28,3,6,0.756757,0.081081,0.162162,37
Marlin,Marlin,2020-06-30,2025-06-29,no,0.500,6303,41,27,7,7,0.658537,0.170732,0.170732,41
jekyll,jekyll,2020-06-30,2025-06-29,no,0.500,844,388,382,3,3,0.984536,0.007732,0.007732,388
PHPMailer,PHPMailer,2020-06-30,2025-06-29,no,0.500,729,115,84,27,4,0.730435,0.234783,0.034783,115
go,go,2020-06-30,2025-06-29,no,0.500,18851,46,43,3,0,0.934783,0.065217,0.000000,46
core,core,2020-06-30,2025-06-29,no,0.500,67821,30,24,0,6,0.800000,0.000000,0.200000,30
bootstrap,bootstrap,2020-06-30,2025-06-29,no,0.500,3179,89,46,10,33,0.516854,0.112360,0.370787,89
dotfiles,dotfiles,2020-06-30,2025-06-29,no,0.500,105,5,2,1,2,0.400000,0.200000,0.400000,5
Chart.js,Chart.js,2020-06-30,2025-06-29,no,0.500,1345,25,22,1,2,0.880000,0.040000,0.080000,25
WordPress,WordPress,2020-06-30,2025-06-29,no,0.500,9364,31,30,1,0,0.967742,0.032258,0.000000,31
react-native,react-native,2020-06-30,2025-06-29,no,0.500,17069,221,210,6,5,0.950226,0.027149,0.022624,221
pdf.js,pdf.js,2020-06-30,2025-06-29,no,0.500,4691,29,25,0,4,0.862069,0.000000,0.137931,29
DefinitelyTyped,DefinitelyTyped,2020-06-30,2025-06-29,no,0.500,19754,123,108,9,6,0.878049,0.073171,0.048780,123
Python,Python,2020-06-30,2025-06-29,no,0.500,1767,42,41,1,0,0.976190,0.023810,0.000000,42
grpc,grpc,2020-06-30,2025-06-29,no,0.500,10265,160,129,4,27,0.806250,0.025000,0.168750,160
framework,framework,2020-06-30,2025-06-29,no,0.500,9924,402,393,3,6,0.977612,0.007463,0.014925,402
guava,guava,2020-06-30,2025-06-29,no,0.500,1647,48,15,24,9,0.312500,0.500000,0.187500,48
flink,flink,2020-06-30,2025-06-29,no,0.500,14042,32,18,3,11,0.562500,0.093750,0.343750,32
minimal-mistakes,minimal-mistakes,2020-06-30,2025-06-29,no,0.500,389,204,152,26,26,0.745098,0.127451,0.127451,204
redis,redis,2020-06-30,2025-06-29,no,0.500,3175,68,51,8,9,0.750000,0.117647,0.132353,68
ardupilot,ardupilot,2020-06-30,2025-06-29,no,0.500,25456,28,25,1,2,0.892857,0.035714,0.071429,28
material-ui,material-ui,2020-06-30,2025-06-29,no,0.500,12753,586,310,176,100,0.529010,0.300341,0.170648,586
mybatis-3,mybatis-3,2020-06-30,2025-06-29,no,0.500,1340,16,14,2,0,0.875000,0.125000,0.000000,16
ionic-framework,ionic-framework,2020-06-30,2025-06-29,no,0.500,3200,340,49,23,268,0.144118,0.067647,0.788235,340
imgui,imgui,2020-06-30,2025-06-29,no,0.500,3319,13,12,0,1,0.923077,0.000000,0.076923,13
TypeScript,TypeScript,2020-06-30,2025-06-29,no,0.500,5549,40,31,1,8,0.775000,0.025000,0.200000,40
odoo,odoo,2020-06-30,2025-06-29,no,0.500,47931,15,15,0,0,1.000000,0.000000,0.000000,15
rust,rust,2020-06-30,2025-06-29,no,0.500,100158,1772,1412,75,285,0.796840,0.042325,0.160835,1772
animate.css,animate.css,2020-06-30,2025-06-29,no,0.500,173,13,10,1,2,0.769231,0.076923,0.153846,13
jquery,jquery,2020-06-30,2025-06-29,no,0.500,265,26,16,3,7,0.615385,0.115385,0.269231,26
Vue-core,Vue-core,2020-06-30,2025-06-29,no,0.500,4448,320,88,164,68,0.275000,0.512500,0.212500,320
lantern,lantern,2020-06-30,2025-06-29,no,0.500,538,32,23,3,6,0.718750,0.093750,0.187500,32
three.js,three.js,2020-06-30,2025-06-29,no,0.500,10614,64,57,3,4,0.890625,0.046875,0.062500,64
angular,angular,2020-06-30,2025-06-29,no,0.500,14945,697,509,172,16,0.730273,0.246772,0.022956,697
grafana,grafana,2020-06-30,2025-06-29,no,0.500,34604,501,467,20,14,0.932136,0.039920,0.027944,501
netty,netty,2020-06-30,2025-06-29,no,0.500,3682,38,27,2,9,0.710526,0.052632,0.236842,38
scrapy,scrapy,2020-06-30,2025-06-29,no,0.500,1911,51,20,5,26,0.392157,0.098039,0.509804,51
numpy,numpy,2020-06-30,2025-06-29,no,0.500,11158,55,53,1,1,0.963636,0.018182,0.018182,55
Ghost,Ghost,2020-06-30,2025-06-29,no,0.500,24317,53,51,2,0,0.962264,0.037736,0.000000,53
ansible,ansible,2020-06-30,2025-06-29,no,0.500,4797,19,17,0,2,0.894737,0.000000,0.105263,19
bitcoin,bitcoin,2020-06-30,2025-06-29,no,0.500,13948,66,34,9,23,0.515152,0.136364,0.348485,66
airflow,airflow,2020-06-30,2025-06-29,no,0.500,22156,568,263,100,205,0.463028,0.176056,0.360915,568
FreeRDP,FreeRDP,2020-06-30,2025-06-29,no,0.500,6239,53,50,1,2,0.943396,0.018868,0.037736,53
todomvc,todomvc,2020-06-30,2025-06-29,no,0.500,45,3,0,1,2,0.000000,0.333333,0.666667,3
nixpkgs,nixpkgs,2020-06-30,2025-06-29,no,0.500,367953,165,150,8,7,0.909091,0.048485,0.042424,165
markdown-here,markdown-here,2020-06-30,2025-06-29,no,0.500,29,7,4,0,3,0.571429,0.000000,0.428571,7
flutter,flutter,2020-06-30,2025-06-29,no,0.500,52524,166,160,5,1,0.963855,0.030120,0.006024,166
go-ethereum,go-ethereum,2020-06-30,2025-06-29,no,0.500,4074,53,43,7,3,0.811321,0.132075,0.056604,53
opencv,opencv,2020-06-30,2025-06-29,no,0.500,3911,17,15,2,0,0.882353,0.117647,0.000000,17
socket.io,socket.io,2020-06-30,2025-06-29,no,0.500,1243,349,113,70,166,0.323782,0.200573,0.475645,349
shadowsocks-android,shadowsocks-android,2020-06-30,2025-06-29,no,0.500,251,9,5,1,3,0.555556,0.111111,0.333333,9
spring-framework,spring-framework,2020-06-30,2025-06-29,no,0.500,9878,35,28,2,5,0.800000,0.057143,0.142857,35
erpnext,erpnext,2020-06-30,2025-06-29,no,0.500,15017,42,40,1,1,0.952381,0.023810,0.023810,42
ohmyzsh,ohmyzsh,2020-06-30,2025-06-29,no,0.500,1823,55,42,10,3,0.763636,0.181818,0.054545,55
kafka,kafka,2020-06-30,2025-06-29,no,0.500,8255,69,37,15,17,0.536232,0.217391,0.246377,69
d3,d3,2020-06-30,2025-06-29,no,0.500,288,13,9,1,3,0.692308,0.076923,0.230769,13
Rocket.Chat,Rocket.Chat,2020-06-30,2025-06-29,no,0.500,8732,390,43,17,330,0.110256,0.043590,0.846154,390
azure-quickstart-templates,azure-quickstart-templates,2020-06-30,2025-06-29,no,0.500,10036,5,4,0,1,0.800000,0.000000,0.200000,5
moby,moby,2020-06-30,2025-06-29,no,0.500,7489,66,51,15,0,0.772727,0.227273,0.000000,66
etcd,etcd,2020-06-30,2025-06-29,no,0.500,4230,105,87,11,7,0.828571,0.104762,0.066667,105
homebrew-cask,homebrew-cask,2020-06-30,2025-06-29,no,0.500,145553,40,33,7,0,0.825000,0.175000,0.000000,40
html5-boilerplate,html5-boilerplate,2020-06-30,2025-06-29,no,0.500,486,42,27,9,6,0.642857,0.214286,0.142857,42
youtube-dl,youtube-dl,2020-06-30,2025-06-29,no,0.500,1215,104,102,1,1,0.980769,0.009615,0.009615,104
java-design-patterns,java-design-patterns,2020-06-30,2025-06-29,no,0.500,1799,462,65,392,5,0.140693,0.848485,0.010823,462
symfony,symfony,2020-06-30,2025-06-29,no,0.500,11504,173,140,1,32,0.809249,0.005780,0.184971,173
dubbo,dubbo,2020-06-30,2025-06-29,no,0.500,3859,51,35,5,11,0.686275,0.098039,0.215686,51
jenkins,jenkins,2020-06-30,2025-06-29,no,0.500,6105,59,49,2,8,0.830508,0.033898,0.135593,59
node,node,2020-06-30,2025-06-29,no,0.500,13555,988,791,170,27,0.800607,0.172065,0.027328,988
kubernetes,kubernetes,2020-06-30,2025-06-29,no,0.500,23233,21,19,0,2,0.904762,0.000000,0.095238,21
qmk_firmware,qmk_firmware,2020-06-30,2025-06-29,no,0.500,10609,43,40,1,2,0.930233,0.023256,0.046512,43
darknet,darknet,2020-06-30,2025-06-29,no,0.500,16,15,15,0,0,1.000000,0.000000,0.000000,15
HanLP,HanLP,2020-06-30,2025-06-29,no,0.500,466,44,43,0,1,0.977273,0.000000,0.022727,44
electron,electron,2020-06-30,2025-06-29,no,0.500,5713,44,38,3,3,0.863636,0.068182,0.068182,44
openssl,openssl,2020-06-30,2025-06-29,no,0.500,11026,51,33,5,13,0.647059,0.098039,0.254902,51
data,data,2020-06-30,2025-06-29,no,0.500,234,4,2,0,2,0.500000,0.000000,0.500000,4
echarts,echarts,2020-06-30,2025-06-29,no,0.500,2683,30,23,5,2,0.766667,0.166667,0.066667,30
reveal.js,reveal.js,2020-06-30,2025-06-29,no,0.500,411,24,15,3,6,0.625000,0.125000,0.250000,24
AspNetCore.Docs,AspNetCore.Docs,2020-06-30,2025-06-29,no,0.500,7415,25,21,0,4,0.840000,0.000000,0.160000,25
django,django,2020-06-30,2025-06-29,no,0.500,5132,172,169,2,1,0.982558,0.011628,0.005814,172
shadowsocks-windows,shadowsocks-windows,2020-06-30,2025-06-29,no,0.500,78,4,1,1,2,0.250000,0.250000,0.500000,4
react,react,2020-06-30,2025-06-29,no,0.500,7207,67,63,2,2,0.940299,0.029851,0.029851,67
axios,axios,2020-06-30,2025-06-29,no,0.500,716,226,144,15,67,0.637168,0.066372,0.296460,226
elasticsearch,elasticsearch,2020-06-30,2025-06-29,no,0.500,33215,89,71,10,8,0.797753,0.112360,0.089888,89
protobuf,protobuf,2020-06-30,2025-06-29,no,0.500,11034,37,22,0,15,0.594595,0.000000,0.405405,37
zxing,zxing,2020-06-30,2025-06-29,no,0.500,283,18,16,2,0,0.888889,0.111111,0.000000,18
godot,godot,2020-06-30,2025-06-29,no,0.500,24073,81,42,14,25,0.518519,0.172840,0.308642,81
spark,spark,2020-06-30,2025-06-29,no,0.500,17199,37,21,2,14,0.567568,0.054054,0.378378,37
laravel,laravel,2020-06-30,2025-06-29,no,0.500,747,184,178,3,3,0.967391,0.016304,0.016304,184
gitignore,gitignore,2020-06-30,2025-06-29,no,0.500,425,9,8,1,0,0.888889,0.111111,0.000000,9
pandas,pandas,2020-06-30,2025-06-29,no,0.500,12707,45,38,4,3,0.844444,0.088889,0.066667,45
AdminLTE,AdminLTE,2020-06-30,2025-06-29,no,0.500,1150,30,21,5,4,0.700000,0.166667,0.133333,30
react-router,react-router,2020-06-30,2025-06-29,no,0.500,4786,747,637,73,37,0.852744,0.097724,0.049531,747
ant-design,ant-design,2020-06-30,2025-06-29,no,0.500,9843,568,223,321,24,0.392606,0.565141,0.042254,568
rails,rails,2020-06-30,2025-06-29,no,0.500,10690,52,23,2,27,0.442308,0.038462,0.519231,52
spring-boot,spring-boot,2020-06-30,2025-06-29,no,0.500,17254,59,42,7,10,0.711864,0.118644,0.169492,59
