repo,owner
metasploit-framework,rapid7
juice-shop,juice-shop-project
flask,pallets
terraform,hashicorp
FFmpeg,FFmpeg
aspnetcore,dotnet
Marlin,MarlinFirmware
jekyll,jekyll
PHPMailer,PHPMailer
go,golang
core,home-assistant
bootstrap,twbs
dotfiles,mathiasbynens
Chart.js,chartjs
WordPress,WordPress
react-native,facebook
pdf.js,mozilla
DefinitelyTyped,DefinitelyTyped
Python,python
grpc,grpc
framework,laravel
guava,google
flink,apache
minimal-mistakes,mmistakes
redis,redis
ardupilot,ArduPilot
material-ui,mui-org
mybatis-3,mybatis
ionic-framework,ionic-team
imgui,ocornut
TypeScript,microsoft
odoo,odoo
rust,rust-lang
animate.css,animate-css
jquery,jquery
Vue-core,vuejs
lantern,getlantern
three.js,mrdoob
angular,angular
grafana,grafana
netty,netty
scrapy,scrapy
numpy,numpy
Ghost,TryGhost
ansible,ansible
bitcoin,bitcoin
airflow,apache
FreeRDP,FreeRDP
todomvc,tastejs
nixpkgs,NixOS
markdown-here,adam-p
flutter,flutter
go-ethereum,ethereum
opencv,opencv
socket.io,socketio
shadowsocks-android,shadowsocks
spring-framework,spring-projects
erpnext,frappe
ohmyzsh,ohmyzsh
kafka,apache
d3,d3
Rocket.Chat,RocketChat
azure-quickstart-templates,Azure
moby,moby
etcd,etcd-io
homebrew-cask,Homebrew
html5-boilerplate,h5bp
youtube-dl,ytdl-org
java-design-patterns,iluwatar
symfony,symfony
dubbo,apache
jenkins,jenkinsci
node,nodejs
kubernetes,kubernetes
qmk_firmware,qmk
darknet,pjreddie
HanLP,hankcs
electron,electron
openssl,openssl
data,owid
echarts,apache
reveal.js,hakimel
AspNetCore.Docs,dotnet
django,django
shadowsocks-windows,shadowsocks
react,facebook
axios,axios
elasticsearch,elastic
protobuf,protocolbuffers
zxing,zxing
godot,godotengine
spark,apache
laravel,laravel
gitignore,github
pandas,pandas-dev
AdminLTE,ColorlibHQ
react-router,remix-run
ant-design,ant-design
rails,rails
spring-boot,spring-projects